id	GENE_ID	GO_PRO
CAC1D	CACNA1D	L-type voltage-gated calcium channel complex [GO:1990454]; plasma membrane [GO:0005886]; voltage-gated calcium channel complex [GO:0005891]; Z disc [GO:0030018]; alpha-actinin binding [GO:0051393]; ankyrin binding [GO:0030506]; calcium channel activity [GO:0005262]; metal ion binding [GO:0046872]; voltage-gated calcium channel activity [GO:0005245]; voltage-gated calcium channel activity involved in cardiac muscle cell action potential [GO:0086007]; voltage-gated calcium channel activity involved SA node cell action potential [GO:0086059]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; calcium ion import [GO:0070509]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; cardiac muscle cell action potential involved in contraction [GO:0086002]; membrane depolarization during cardiac muscle cell action potential [GO:0086012]; membrane depolarization during SA node cell action potential [GO:0086046]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of calcium ion transport [GO:0051928]; regulation of atrial cardiac muscle cell membrane repolarization [GO:0060372]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of potassium ion transmembrane transport [GO:1901379]; regulation of potassium ion transmembrane transporter activity [GO:1901016]; sensory perception of sound [GO:0007605]
CCG6	CACNG6	L-type voltage-gated calcium channel complex [GO:1990454]; plasma membrane [GO:0005886]; voltage-gated calcium channel complex [GO:0005891]; calcium channel regulator activity [GO:0005246]; voltage-gated calcium channel activity [GO:0005245]; calcium ion transport [GO:0006816]; regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1902514]
KCNJ8	KCNJ8	inward rectifying potassium channel [GO:0008282]; mitochondrion [GO:0005739]; myofibril [GO:0030016]; plasma membrane [GO:0005886]; potassium ion-transporting ATPase complex [GO:0031004]; sarcolemma [GO:0042383]; voltage-gated potassium channel complex [GO:0008076]; ATP binding [GO:0005524]; ATP-activated inward rectifier potassium channel activity [GO:0015272]; ATPase-coupled cation transmembrane transporter activity [GO:0019829]; inward rectifier potassium channel activity [GO:0005242]; sulfonylurea receptor binding [GO:0017098]; voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization [GO:1902282]; defense response to virus [GO:0051607]; heart development [GO:0007507]; inorganic cation transmembrane transport [GO:0098662]; kidney development [GO:0001822]; membrane repolarization during ventricular cardiac muscle cell action potential [GO:0098915]; potassium ion import across plasma membrane [GO:1990573]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; regulation of ion transmembrane transport [GO:0034765]; response to exogenous dsRNA [GO:0043330]; response to lipopolysaccharide [GO:0032496]; transport across blood-brain barrier [GO:0150104]
ABCC9	ABCC9	inward rectifying potassium channel [GO:0008282]; membrane [GO:0016020]; plasma membrane [GO:0005886]; potassium ion-transporting ATPase complex [GO:0031004]; sarcomere [GO:0030017]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATPase-coupled cation transmembrane transporter activity [GO:0019829]; ATPase-coupled inorganic anion transmembrane transporter activity [GO:0043225]; ATPase-coupled transmembrane transporter activity [GO:0042626]; potassium channel activity [GO:0005267]; potassium channel regulator activity [GO:0015459]; sulfonylurea receptor activity [GO:0008281]; transmembrane transporter binding [GO:0044325]; cardiac conduction [GO:0061337]; cation transmembrane transport [GO:0098655]; defense response to virus [GO:0051607]; inorganic cation transmembrane transport [GO:0098662]; potassium ion import across plasma membrane [GO:1990573]; potassium ion transmembrane transport [GO:0071805]; response to ATP [GO:0033198]; transmembrane transport [GO:0055085]; transport across blood-brain barrier [GO:0150104]
ABCC8	ABCC8	inward rectifying potassium channel [GO:0008282]; membrane [GO:0016020]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; potassium ion-transporting ATPase complex [GO:0031004]; sarcolemma [GO:0042383]; synaptic vesicle membrane [GO:0030672]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP-activated inward rectifier potassium channel activity [GO:0015272]; ATPase-coupled cation transmembrane transporter activity [GO:0019829]; ATPase-coupled transmembrane transporter activity [GO:0042626]; potassium channel activity [GO:0005267]; sulfonylurea receptor activity [GO:0008281]; transmembrane transporter binding [GO:0044325]; cellular glucose homeostasis [GO:0001678]; cellular response to organic substance [GO:0071310]; female pregnancy [GO:0007565]; inorganic cation transmembrane transport [GO:0098662]; memory [GO:0007613]; negative regulation of angiogenesis [GO:0016525]; negative regulation of blood-brain barrier permeability [GO:1905604]; negative regulation of glial cell proliferation [GO:0060253]; negative regulation of insulin secretion [GO:0046676]; negative regulation of low-density lipoprotein particle clearance [GO:0010989]; negative regulation of neuroblast migration [GO:0061855]; negative regulation of wound healing [GO:0061045]; positive regulation of tight junction disassembly [GO:1905075]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of uterine smooth muscle relaxation [GO:1900721]; positive regulation of voltage-gated potassium channel activity [GO:1903818]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; response to insulin [GO:0032868]; response to lipopolysaccharide [GO:0032496]; response to pH [GO:0009268]; response to xenobiotic stimulus [GO:0009410]; response to zinc ion [GO:0010043]; transmembrane transport [GO:0055085]; visual learning [GO:0008542]
SCN4B	SCN4B	intercalated disc [GO:0014704]; intrinsic component of plasma membrane [GO:0031226]; plasma membrane [GO:0005886]; voltage-gated sodium channel complex [GO:0001518]; sodium channel regulator activity [GO:0017080]; transmembrane transporter binding [GO:0044325]; voltage-gated ion channel activity [GO:0005244]; voltage-gated sodium channel activity [GO:0005248]; voltage-gated sodium channel activity involved in cardiac muscle cell action potential [GO:0086006]; AV node cell action potential [GO:0086016]; cardiac muscle cell action potential involved in contraction [GO:0086002]; cardiac muscle contraction [GO:0060048]; membrane depolarization during cardiac muscle cell action potential [GO:0086012]; positive regulation of sodium ion transport [GO:0010765]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of sodium ion transmembrane transporter activity [GO:2000649]; regulation of ventricular cardiac muscle cell membrane repolarization [GO:0060307]; sodium ion transmembrane transport [GO:0035725]; sodium ion transport [GO:0006814]
KCNK6	KCNK6	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; voltage-gated potassium channel complex [GO:0008076]; inward rectifier potassium channel activity [GO:0005242]; potassium ion leak channel activity [GO:0022841]; negative regulation of systemic arterial blood pressure [GO:0003085]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; regulation of ion transmembrane transport [GO:0034765]; regulation of resting membrane potential [GO:0060075]; stabilization of membrane potential [GO:0030322]
KCNK9	KCNK9	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; synaptic vesicle [GO:0008021]; potassium channel activity [GO:0005267]; potassium ion leak channel activity [GO:0022841]; voltage-gated potassium channel activity [GO:0005249]; potassium ion import across plasma membrane [GO:1990573]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; stabilization of membrane potential [GO:0030322]
KCNK3	KCNK3	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; synapse [GO:0045202]; ion channel activity [GO:0005216]; open rectifier potassium channel activity [GO:0005252]; potassium channel activity [GO:0005267]; potassium ion leak channel activity [GO:0022841]; protein C-terminus binding [GO:0008022]; S100 protein binding [GO:0044548]; brain development [GO:0007420]; cellular response to hypoxia [GO:0071456]; cellular response to zinc ion [GO:0071294]; chemical synaptic transmission [GO:0007268]; cochlea development [GO:0090102]; ion transmembrane transport [GO:0034220]; negative regulation of cytosolic calcium ion concentration [GO:0051481]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; response to xenobiotic stimulus [GO:0009410]; stabilization of membrane potential [GO:0030322]
MTR1B	MTNR1B	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled receptor activity [GO:0004930]; melatonin receptor activity [GO:0008502]; camera-type eye development [GO:0043010]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; glucose homeostasis [GO:0042593]; negative regulation of cGMP-mediated signaling [GO:0010754]; negative regulation of cytosolic calcium ion concentration [GO:0051481]; negative regulation of delayed rectifier potassium channel activity [GO:1902260]; negative regulation of insulin secretion [GO:0046676]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of transmission of nerve impulse [GO:0051970]; negative regulation of vasoconstriction [GO:0045906]; positive regulation of circadian sleep/wake cycle, non-REM sleep [GO:0046010]; positive regulation of transmission of nerve impulse [GO:0051971]; regulation of insulin secretion [GO:0050796]; regulation of neuronal action potential [GO:0098908]
TRPA1	TRPA1	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; stereocilium bundle [GO:0032421]; calcium channel activity [GO:0005262]; calcium-release channel activity [GO:0015278]; channel activity [GO:0015267]; identical protein binding [GO:0042802]; temperature-gated cation channel activity [GO:0097604]; calcium ion transmembrane transport [GO:0070588]; cell surface receptor signaling pathway [GO:0007166]; cellular calcium ion homeostasis [GO:0006874]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to organic substance [GO:0071310]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; ion transport [GO:0006811]; protein homotetramerization [GO:0051289]; response to cold [GO:0009409]; response to organic cyclic compound [GO:0014070]; response to organic substance [GO:0010033]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; sensory perception of pain [GO:0019233]; thermoception [GO:0050955]
MTR1A	MTNR1A	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; G protein-coupled receptor activity [GO:0004930]; hormone binding [GO:0042562]; melatonin receptor activity [GO:0008502]; organic cyclic compound binding [GO:0097159]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; circadian rhythm [GO:0007623]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; mating behavior [GO:0007617]
ADRB3	ADRB3	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; beta-adrenergic receptor activity [GO:0004939]; beta3-adrenergic receptor activity [GO:0015052]; epinephrine binding [GO:0051379]; G protein-coupled receptor activity [GO:0004930]; protein homodimerization activity [GO:0042803]; activation of adenylate cyclase activity [GO:0007190]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; carbohydrate metabolic process [GO:0005975]; energy reserve metabolic process [GO:0006112]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; generation of precursor metabolites and energy [GO:0006091]; norepinephrine-epinephrine-mediated vasodilation involved in regulation of systemic arterial blood pressure [GO:0002025]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of MAPK cascade [GO:0043410]
PE2R2	PTGER2	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; prostaglandin E receptor activity [GO:0004957]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cellular response to prostaglandin E stimulus [GO:0071380]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; regulation of cell population proliferation [GO:0042127]; response to lipopolysaccharide [GO:0032496]; response to progesterone [GO:0032570]
AA3R	ADORA3	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]; G protein-coupled adenosine receptor activity [GO:0001609]; activation of adenylate cyclase activity [GO:0007190]; inflammatory response [GO:0006954]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; regulation of heart contraction [GO:0008016]; regulation of norepinephrine secretion [GO:0014061]; response to wounding [GO:0009611]; signal transduction [GO:0007165]
